S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
847,2022-07-18,Monday,Kadrabad,Uttar Pradesh,"28.86590154001807, 77.59911645209652",28.86590154001807,77.59911645209652,NH,Hit From Back,1,1,Two Wheeler,Car,Nil
848,2022-07-18,Monday,Ratibad,Madhya Pradesh,"23.169395890722082, 77.32072581025423",23.169395890722082,77.32072581025423,OR,Fixed Object Collision,1,0,Two Wheeler,Divider,Nil
849,2022-07-19,Tuesday,Baerkhadi,Madhya Pradesh,"23.171686885470024, 77.33628858269633",23.171686885470024,77.33628858269633,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Nil
850,2022-07-20,Wednesday,Shiroor Toll Plaza,Karnataka,"13.933637241943957, 74.5967215030597",13.933637241943957,74.5967215030597,NH,Fixed Object Collision,4,4,Ambulance,Pole,Nil
851,2022-07-20,Wednesday,Gholu Majra,Punjab,"30.53476289307007, 76.81639741792141",30.53476289307007,76.81639741792141,NH,Hit and Run,1,0,Pedestrian,Unidentified,Nil
852,2022-07-20,Wednesday,Sector 53-54 MetroStation,Haryana,"28.446242423612645, 77.10038284401469",28.446242423612645,77.10038284401469,OR,Fixed Object Collision,1,0,Car,Pillar,Nil
853,2022-07-22,Friday,Naugaja Peer,Haryana,"30.163379919274046, 76.86375481675898",30.163379919274046,76.86375481675898,NH,Hit and Run,2,1,Car,Unidentified,Nil
854,2022-07-21,Thursday,Yelahanka,Karnataka,"13.11764235472505, 77.6084193444187",13.11764235472505,77.6084193444187,NH,Head On Collision ,1,0,Car,Bus,Nil
855,2022-07-23,Saturday,Badar Chowk,Uttar Pradesh,"27.541229923475033, 78.04514179668632",27.541229923475033,78.04514179668632,NH,Hit and Run,5,1,Pedestrian,Truck,Nil
856,2022-07-22,Friday,Punhana,Haryana,"27.8674332750505, 77.20858812005018",27.8674332750505,77.20858812005018,SH,Hit From Side,7,2,Auto Rickshaw,Crane,Nil
857,2022-07-22,Friday,Kammanahalli,Karnataka,"13.016208327972446, 77.63675817714716",13.016208327972446,77.63675817714716,OR,Hit and Run,1,0,Pedestrian,Truck,Bengaluru
858,2022-07-23,Saturday,Bhanapur,Karnataka,"15.386566923949273, 76.03987461744937",15.386566923949273,76.03987461744937,OR,Hit and Run,5,4,SUV,Unidentified,Nil
859,2022-07-24,Sunday,Kothakotta,Andhra Pradesh,"13.3958876290453, 79.09851659006976",13.3958876290453,79.09851659006976,NH,Fixed Object Collision,3,4,Car,Divider,Nil
860,2022-07-22,Friday,Samba Bus Stand,Jammu,"32.559624979021876, 75.12050899406216",32.559624979021876,75.12050899406216,NH,Others,4,15,Car,Truck,Nil
861,2022-07-24,Sunday,Satrundi,Himachal Pradesh,"32.99261617636575, 76.21056273695888",32.99261617636575,76.21056273695888,SH,Vehicle Overturn,5,2,Car,Gorge,Nil
862,2022-07-24,Sunday,Mahabalipuram,Tamil Nadu,"12.620941197699866, 80.19824093048054",12.620941197699866,80.19824093048054,OR,Others,2,0,Auto Rickshaw,Car,Nil
863,2022-07-23,Saturday,Ramdiri,Bihar,"25.371896452462543, 86.10590302703326",25.371896452462543,86.10590302703326,OR,Hit and Run,1,0,Bicycle,Unidentified,Nil
864,2022-07-23,Saturday,Jhamatia,Bihar,"25.549791232411557, 85.8645034581247",25.549791232411557,85.8645034581247,OR,Others,2,1,Two Wheeler,Truck,Nil
865,2022-07-23,Saturday,Bamhani,Madhya Pradesh,"22.475812300533164, 80.36759789701637",22.475812300533164,80.36759789701637,NH,Hit and Run,2,3,Pedestrian,Bus,Nil
866,2022-07-25,Monday,Barabanki,Uttar Pradesh,"26.927293576261384, 81.2001030162083",26.927293576261384,81.2001030162083,SH,Head On Collision ,8,18,Bus,Bus,Nil
867,2022-07-22,Friday,Mann Road,Maharashtra,"18.5789767064195, 73.71740025919915",18.5789767064195,73.71740025919915,OR,Others,2,0,Two Wheeler,Bus,Nil
868,2022-07-25,Monday,Nangli Puna,Delhi,"28.771698294788195, 77.1438149431766",28.771698294788195,77.1438149431766,NH,With Parked Vehicle,3,2,Car,Bus,Delhi
869,2022-07-24,Sunday,RTO Office Bilkhiriya,Madhya Pradesh,"23.267080937045094, 77.51617118103837",23.267080937045094,77.51617118103837,NH,Hit and Run,1,0,Two Wheeler,Unidentified,Bhopal
870,2022-07-24,Sunday,Megra Kalan,Madhya Pradesh,"23.680123872219358, 77.46032132791763",23.680123872219358,77.46032132791763,SH,Hit and Run,1,0,Two Wheeler,Unidentified,Nil
